Aikajakso 01.01.2016 - 31.12.2016,Sähkönkulutus mitattu kWh,Päiväsähkönkulutus (klo 07-22) mitattu kWh,Yösähkönkulutus (klo 22-07) mitattu kWh,Lämpötila °C,"Pörssisähkön hinta, sis. alv snt/kWh",
la 02.07.2016 16:00 - 17:00,0.219,0.219,0.000,22.20,2.85,
la 02.07.2016 17:00 - 18:00,0.208,0.208,0.000,22.90,3.00,
la 02.07.2016 18:00 - 19:00,0.314,0.314,0.000,22.70,3.12,
la 02.07.2016 19:00 - 20:00,0.239,0.239,0.000,23.10,3.11,
la 02.07.2016 20:00 - 21:00,0.268,0.268,0.000,22.80,3.14,
la 02.07.2016 21:00 - 22:00,0.217,0.217,0.000,21.90,3.16,
la 02.07.2016 22:00 - 23:00,0.923,0.000,0.923,21.30,3.10,
la 02.07.2016 23:00 - 00:00,3.269,0.000,3.269,19.90,3.19,
su 03.07.2016 00:00 - 01:00,3.575,0.000,3.575,19.10,2.85,
su 03.07.2016 01:00 - 02:00,3.549,0.000,3.549,18.60,2.68,
su 03.07.2016 02:00 - 03:00,0.270,0.000,0.270,18.80,2.54,
su 03.07.2016 03:00 - 04:00,0.213,0.000,0.213,18.20,2.32,
su 03.07.2016 04:00 - 05:00,0.228,0.000,0.228,17.70,2.05,
su 03.07.2016 05:00 - 06:00,0.221,0.000,0.221,18.20,1.52,
su 03.07.2016 06:00 - 07:00,0.345,0.000,0.345,19.20,1.51,
su 03.07.2016 07:00 - 08:00,0.242,0.242,0.000,19.70,1.86,
su 03.07.2016 08:00 - 09:00,0.462,0.462,0.000,19.40,2.24,
su 03.07.2016 09:00 - 10:00,1.062,1.062,0.000,21.60,2.47,
su 03.07.2016 10:00 - 11:00,1.108,1.108,0.000,19.70,3.08,
su 03.07.2016 11:00 - 12:00,0.279,0.279,0.000,20.10,3.13,
su 03.07.2016 12:00 - 13:00,0.318,0.318,0.000,14.00,3.19,
su 03.07.2016 13:00 - 14:00,0.500,0.500,0.000,14.10,3.23,
su 03.07.2016 14:00 - 15:00,0.449,0.449,0.000,14.90,3.26,
su 03.07.2016 15:00 - 16:00,1.273,1.273,0.000,15.80,3.29,
su 03.07.2016 16:00 - 17:00,0.895,0.895,0.000,17.70,3.32,
su 03.07.2016 17:00 - 18:00,1.008,1.008,0.000,18.20,3.30,
su 03.07.2016 18:00 - 19:00,1.033,1.033,0.000,19.00,3.33,
su 03.07.2016 19:00 - 20:00,0.776,0.776,0.000,17.50,3.33,
su 03.07.2016 20:00 - 21:00,0.730,0.730,0.000,16.00,3.40,
su 03.07.2016 21:00 - 22:00,0.268,0.268,0.000,14.50,3.55,
su 03.07.2016 22:00 - 23:00,0.854,0.000,0.854,14.30,3.78,
su 03.07.2016 23:00 - 00:00,3.389,0.000,3.389,13.70,3.92,
ma 04.07.2016 00:00 - 01:00,3.371,0.000,3.371,14.00,3.73,
ma 04.07.2016 01:00 - 02:00,2.173,0.000,2.173,13.80,3.27,
ma 04.07.2016 02:00 - 03:00,0.191,0.000,0.191,13.40,3.08,
ma 04.07.2016 03:00 - 04:00,0.661,0.000,0.661,12.70,3.03,
ma 04.07.2016 04:00 - 05:00,1.087,0.000,1.087,12.30,2.97,
ma 04.07.2016 05:00 - 06:00,0.209,0.000,0.209,12.20,2.94,
ma 04.07.2016 06:00 - 07:00,0.159,0.000,0.159,12.30,3.60,
ma 04.07.2016 07:00 - 08:00,0.151,0.151,0.000,14.20,4.96,
ma 04.07.2016 08:00 - 09:00,0.263,0.263,0.000,14.30,5.22,
ma 04.07.2016 09:00 - 10:00,0.313,0.313,0.000,14.20,6.01,
ma 04.07.2016 10:00 - 11:00,0.673,0.673,0.000,13.80,6.80,
ma 04.07.2016 11:00 - 12:00,1.555,1.555,0.000,14.10,6.54,
ma 04.07.2016 12:00 - 13:00,1.737,1.737,0.000,14.30,6.83,
ma 04.07.2016 13:00 - 14:00,0.833,0.833,0.000,14.30,6.83,
ma 04.07.2016 14:00 - 15:00,0.863,0.863,0.000,14.90,6.56,
ma 04.07.2016 15:00 - 16:00,0.898,0.898,0.000,14.90,5.43,
ma 04.07.2016 16:00 - 17:00,0.817,0.817,0.000,15.40,4.34,
ma 04.07.2016 17:00 - 18:00,1.530,1.530,0.000,15.40,4.70,
ma 04.07.2016 18:00 - 19:00,2.315,2.315,0.000,14.50,4.87,
ma 04.07.2016 19:00 - 20:00,2.125,2.125,0.000,14.40,5.22,
ma 04.07.2016 20:00 - 21:00,0.409,0.409,0.000,14.70,4.97,
ma 04.07.2016 21:00 - 22:00,0.264,0.264,0.000,13.80,4.79,
ma 04.07.2016 22:00 - 23:00,0.668,0.000,0.668,14.20,4.41,
ma 04.07.2016 23:00 - 00:00,3.500,0.000,3.500,13.20,4.34,
ti 05.07.2016 00:00 - 01:00,1.580,0.000,1.580,12.50,4.11,
ti 05.07.2016 01:00 - 02:00,1.127,0.000,1.127,13.10,3.71,
ti 05.07.2016 02:00 - 03:00,0.888,0.000,0.888,13.10,3.35,
ti 05.07.2016 03:00 - 04:00,0.210,0.000,0.210,13.00,3.16,
ti 05.07.2016 04:00 - 05:00,0.204,0.000,0.204,12.90,2.96,
ti 05.07.2016 05:00 - 06:00,0.204,0.000,0.204,12.60,2.91,
ti 05.07.2016 06:00 - 07:00,0.200,0.000,0.200,12.60,3.17,
ti 05.07.2016 07:00 - 08:00,0.433,0.433,0.000,12.60,3.75,
ti 05.07.2016 08:00 - 09:00,1.654,1.654,0.000,13.00,4.23,
ti 05.07.2016 09:00 - 10:00,1.267,1.267,0.000,13.00,4.41,
ti 05.07.2016 10:00 - 11:00,1.386,1.386,0.000,13.30,4.25,
ti 05.07.2016 11:00 - 12:00,1.820,1.820,0.000,13.90,4.33,
ti 05.07.2016 12:00 - 13:00,0.783,0.783,0.000,14.10,4.43,
ti 05.07.2016 13:00 - 14:00,0.865,0.865,0.000,14.50,4.17,
ti 05.07.2016 14:00 - 15:00,0.973,0.973,0.000,14.80,4.16,
ti 05.07.2016 15:00 - 16:00,1.589,1.589,0.000,15.10,4.03,
ti 05.07.2016 16:00 - 17:00,1.659,1.659,0.000,15.10,3.92,
ti 05.07.2016 17:00 - 18:00,0.640,0.640,0.000,15.30,3.95,
ti 05.07.2016 18:00 - 19:00,1.179,1.179,0.000,15.10,3.56,
ti 05.07.2016 19:00 - 20:00,1.962,1.962,0.000,15.80,3.58,
ti 05.07.2016 20:00 - 21:00,1.851,1.851,0.000,15.80,3.42,
ti 05.07.2016 21:00 - 22:00,0.463,0.463,0.000,15.10,3.34,
ti 05.07.2016 22:00 - 23:00,2.267,0.000,2.267,15.30,3.36,
ti 05.07.2016 23:00 - 00:00,4.516,0.000,4.516,15.30,3.40,
ke 06.07.2016 00:00 - 01:00,3.552,0.000,3.552,15.10,3.09,
ke 06.07.2016 01:00 - 02:00,2.370,0.000,2.370,15.00,2.65,
ke 06.07.2016 02:00 - 03:00,0.219,0.000,0.219,14.90,2.37,
ke 06.07.2016 03:00 - 04:00,0.198,0.000,0.198,14.70,1.86,
ke 06.07.2016 04:00 - 05:00,0.200,0.000,0.200,14.30,1.64,
ke 06.07.2016 05:00 - 06:00,0.195,0.000,0.195,14.30,1.51,
ke 06.07.2016 06:00 - 07:00,0.710,0.000,0.710,14.70,2.73,
ke 06.07.2016 07:00 - 08:00,1.292,1.292,0.000,15.10,3.17,
ke 06.07.2016 08:00 - 09:00,0.698,0.698,0.000,15.40,4.04,
ke 06.07.2016 09:00 - 10:00,0.890,0.890,0.000,15.50,4.52,
ke 06.07.2016 10:00 - 11:00,0.774,0.774,0.000,15.90,4.44,
ke 06.07.2016 11:00 - 12:00,1.440,1.440,0.000,16.40,4.45,
ke 06.07.2016 12:00 - 13:00,1.017,1.017,0.000,17.50,4.44,
ke 06.07.2016 13:00 - 14:00,0.893,0.893,0.000,17.50,4.43,
ke 06.07.2016 14:00 - 15:00,0.817,0.817,0.000,17.00,4.16,
ke 06.07.2016 15:00 - 16:00,1.325,1.325,0.000,16.80,4.05,
ke 06.07.2016 16:00 - 17:00,1.567,1.567,0.000,16.50,3.57,
ke 06.07.2016 17:00 - 18:00,0.962,0.962,0.000,16.00,3.43,
ke 06.07.2016 18:00 - 19:00,0.935,0.935,0.000,15.10,3.67,
ke 06.07.2016 19:00 - 20:00,0.897,0.897,0.000,15.70,4.43,
ke 06.07.2016 20:00 - 21:00,0.564,0.564,0.000,15.60,4.16,
ke 06.07.2016 21:00 - 22:00,0.519,0.519,0.000,16.60,3.59,
ke 06.07.2016 22:00 - 23:00,3.666,0.000,3.666,16.00,3.62,
ke 06.07.2016 23:00 - 00:00,4.327,0.000,4.327,15.80,3.55,
to 07.07.2016 00:00 - 01:00,2.711,0.000,2.711,15.70,3.37,
to 07.07.2016 01:00 - 02:00,0.236,0.000,0.236,16.00,3.29,
to 07.07.2016 02:00 - 03:00,0.201,0.000,0.201,15.60,3.09,
to 07.07.2016 03:00 - 04:00,0.210,0.000,0.210,14.10,2.93,
to 07.07.2016 04:00 - 05:00,0.189,0.000,0.189,14.50,2.68,
to 07.07.2016 05:00 - 06:00,0.426,0.000,0.426,15.00,2.78,
to 07.07.2016 06:00 - 07:00,1.121,0.000,1.121,15.50,3.18,
to 07.07.2016 07:00 - 08:00,0.700,0.700,0.000,17.00,4.46,
to 07.07.2016 08:00 - 09:00,0.481,0.481,0.000,17.20,4.72,
to 07.07.2016 09:00 - 10:00,0.447,0.447,0.000,17.30,5.15,
to 07.07.2016 10:00 - 11:00,0.213,0.213,0.000,16.90,4.96,
to 07.07.2016 11:00 - 12:00,0.353,0.353,0.000,17.10,4.97,
to 07.07.2016 12:00 - 13:00,0.615,0.615,0.000,16.10,5.16,
to 07.07.2016 13:00 - 14:00,1.456,1.456,0.000,16.00,5.10,
to 07.07.2016 14:00 - 15:00,1.583,1.583,0.000,15.90,4.72,
to 07.07.2016 15:00 - 16:00,1.669,1.669,0.000,16.50,4.72,
to 07.07.2016 16:00 - 17:00,0.352,0.352,0.000,17.10,4.71,
to 07.07.2016 17:00 - 18:00,1.127,1.127,0.000,16.90,4.50,
to 07.07.2016 18:00 - 19:00,0.425,0.425,0.000,16.80,4.04,
to 07.07.2016 19:00 - 20:00,0.449,0.449,0.000,16.00,4.12,
to 07.07.2016 20:00 - 21:00,0.493,0.493,0.000,16.40,4.46,
to 07.07.2016 21:00 - 22:00,1.246,1.246,0.000,16.60,3.92,
to 07.07.2016 22:00 - 23:00,1.969,0.000,1.969,16.50,3.87,
to 07.07.2016 23:00 - 00:00,3.459,0.000,3.459,16.00,3.87,
pe 08.07.2016 00:00 - 01:00,3.404,0.000,3.404,15.80,3.71,
pe 08.07.2016 01:00 - 02:00,2.542,0.000,2.542,15.40,3.46,
pe 08.07.2016 02:00 - 03:00,0.203,0.000,0.203,15.60,3.26,
pe 08.07.2016 03:00 - 04:00,0.185,0.000,0.185,15.90,3.10,
pe 08.07.2016 04:00 - 05:00,0.385,0.000,0.385,15.70,2.91,
pe 08.07.2016 05:00 - 06:00,1.083,0.000,1.083,15.40,2.87,
pe 08.07.2016 06:00 - 07:00,0.672,0.000,0.672,15.40,3.10,
pe 08.07.2016 07:00 - 08:00,0.158,0.158,0.000,15.00,4.17,
pe 08.07.2016 08:00 - 09:00,0.574,0.574,0.000,15.40,4.88,
pe 08.07.2016 09:00 - 10:00,1.224,1.224,0.000,16.20,5.71,
pe 08.07.2016 10:00 - 11:00,0.716,0.716,0.000,16.30,5.71,
pe 08.07.2016 11:00 - 12:00,0.588,0.588,0.000,18.00,5.71,
pe 08.07.2016 12:00 - 13:00,0.622,0.622,0.000,20.20,5.71,
pe 08.07.2016 13:00 - 14:00,1.604,1.604,0.000,20.80,5.08,
pe 08.07.2016 14:00 - 15:00,1.299,1.299,0.000,18.80,4.71,
pe 08.07.2016 15:00 - 16:00,0.909,0.909,0.000,19.60,4.70,
pe 08.07.2016 16:00 - 17:00,1.012,1.012,0.000,20.80,4.05,
pe 08.07.2016 17:00 - 18:00,1.132,1.132,0.000,19.40,3.83,
pe 08.07.2016 18:00 - 19:00,0.727,0.727,0.000,19.70,3.70,
pe 08.07.2016 19:00 - 20:00,0.790,0.790,0.000,19.10,4.05,
pe 08.07.2016 20:00 - 21:00,2.699,2.699,0.000,16.90,3.69,
pe 08.07.2016 21:00 - 22:00,0.656,0.656,0.000,16.50,3.48,
pe 08.07.2016 22:00 - 23:00,3.286,0.000,3.286,15.20,3.34,
pe 08.07.2016 23:00 - 00:00,4.739,0.000,4.739,14.50,3.48,
la 09.07.2016 00:00 - 01:00,4.540,0.000,4.540,14.60,3.10,
la 09.07.2016 01:00 - 02:00,3.784,0.000,3.784,13.80,3.10,
la 09.07.2016 02:00 - 03:00,0.748,0.000,0.748,13.60,2.90,
la 09.07.2016 03:00 - 04:00,0.441,0.000,0.441,13.40,2.74,
la 09.07.2016 04:00 - 05:00,0.447,0.000,0.447,13.20,2.69,
la 09.07.2016 05:00 - 06:00,0.398,0.000,0.398,13.70,2.47,
la 09.07.2016 06:00 - 07:00,0.413,0.000,0.413,13.80,2.58,
la 09.07.2016 07:00 - 08:00,1.244,1.244,0.000,14.30,2.79,
la 09.07.2016 08:00 - 09:00,1.422,1.422,0.000,14.80,3.12,
la 09.07.2016 09:00 - 10:00,0.613,0.613,0.000,14.70,3.47,
la 09.07.2016 10:00 - 11:00,0.801,0.801,0.000,15.10,3.69,
la 09.07.2016 11:00 - 12:00,0.974,0.974,0.000,15.50,3.78,
la 09.07.2016 12:00 - 13:00,1.045,1.045,0.000,15.30,3.78,
la 09.07.2016 13:00 - 14:00,0.946,0.946,0.000,15.00,3.69,
la 09.07.2016 14:00 - 15:00,1.778,1.778,0.000,15.60,3.61,
la 09.07.2016 15:00 - 16:00,0.973,0.973,0.000,15.10,3.40,
la 09.07.2016 16:00 - 17:00,1.236,1.236,0.000,15.00,3.28,
la 09.07.2016 17:00 - 18:00,0.945,0.945,0.000,15.50,3.27,
la 09.07.2016 18:00 - 19:00,0.375,0.375,0.000,15.70,3.27,
la 09.07.2016 19:00 - 20:00,0.321,0.321,0.000,15.20,3.55,
la 09.07.2016 20:00 - 21:00,0.363,0.363,0.000,15.30,3.71,
la 09.07.2016 21:00 - 22:00,0.329,0.329,0.000,15.00,3.71,
la 09.07.2016 22:00 - 23:00,2.643,0.000,2.643,14.50,3.70,
la 09.07.2016 23:00 - 00:00,4.327,0.000,4.327,14.00,3.77,
su 10.07.2016 00:00 - 01:00,3.360,0.000,3.360,13.60,3.47,
su 10.07.2016 01:00 - 02:00,3.335,0.000,3.335,12.80,2.94,
su 10.07.2016 02:00 - 03:00,2.743,0.000,2.743,12.90,2.81,
su 10.07.2016 03:00 - 04:00,0.184,0.000,0.184,10.60,2.70,
su 10.07.2016 04:00 - 05:00,0.192,0.000,0.192,10.20,2.58,
su 10.07.2016 05:00 - 06:00,0.203,0.000,0.203,10.40,2.52,
su 10.07.2016 06:00 - 07:00,0.795,0.000,0.795,12.80,2.48,
su 10.07.2016 07:00 - 08:00,1.036,1.036,0.000,14.10,2.59,
su 10.07.2016 08:00 - 09:00,0.595,0.595,0.000,15.50,2.93,
su 10.07.2016 09:00 - 10:00,0.280,0.280,0.000,16.00,3.31,
su 10.07.2016 10:00 - 11:00,0.205,0.205,0.000,17.40,3.66,
su 10.07.2016 11:00 - 12:00,0.204,0.204,0.000,18.50,3.68,
su 10.07.2016 12:00 - 13:00,0.205,0.205,0.000,18.00,3.74,
su 10.07.2016 13:00 - 14:00,1.116,1.116,0.000,18.10,3.69,
su 10.07.2016 14:00 - 15:00,1.848,1.848,0.000,18.80,3.69,
su 10.07.2016 15:00 - 16:00,0.809,0.809,0.000,20.00,3.69,
su 10.07.2016 16:00 - 17:00,1.635,1.635,0.000,19.70,3.65,
su 10.07.2016 17:00 - 18:00,0.841,0.841,0.000,19.20,3.65,
su 10.07.2016 18:00 - 19:00,1.468,1.468,0.000,18.40,3.67,
su 10.07.2016 19:00 - 20:00,1.048,1.048,0.000,18.50,3.67,
su 10.07.2016 20:00 - 21:00,0.305,0.305,0.000,19.20,3.75,
su 10.07.2016 21:00 - 22:00,0.975,0.975,0.000,18.50,3.83,
su 10.07.2016 22:00 - 23:00,3.302,0.000,3.302,17.10,3.83,
su 10.07.2016 23:00 - 00:00,3.571,0.000,3.571,15.70,3.90,
ma 11.07.2016 00:00 - 01:00,3.448,0.000,3.448,14.40,3.70,
ma 11.07.2016 01:00 - 02:00,1.871,0.000,1.871,12.90,3.05,
ma 11.07.2016 02:00 - 03:00,0.230,0.000,0.230,11.50,2.79,
ma 11.07.2016 03:00 - 04:00,0.226,0.000,0.226,10.90,2.68,
ma 11.07.2016 04:00 - 05:00,0.221,0.000,0.221,10.10,2.54,
ma 11.07.2016 05:00 - 06:00,0.615,0.000,0.615,10.80,2.48,
ma 11.07.2016 06:00 - 07:00,1.143,0.000,1.143,12.50,3.05,
ma 11.07.2016 07:00 - 08:00,0.250,0.250,0.000,15.60,4.34,
ma 11.07.2016 08:00 - 09:00,0.433,0.433,0.000,16.60,5.39,
ma 11.07.2016 09:00 - 10:00,0.394,0.394,0.000,18.00,5.39,
ma 11.07.2016 10:00 - 11:00,0.608,0.608,0.000,19.40,5.60,
ma 11.07.2016 11:00 - 12:00,0.199,0.199,0.000,20.90,6.49,
ma 11.07.2016 12:00 - 13:00,0.196,0.196,0.000,21.80,6.82,
ma 11.07.2016 13:00 - 14:00,0.194,0.194,0.000,19.30,6.33,
ma 11.07.2016 14:00 - 15:00,0.210,0.210,0.000,19.40,6.37,
ma 11.07.2016 15:00 - 16:00,0.621,0.621,0.000,18.40,6.57,
ma 11.07.2016 16:00 - 17:00,2.711,2.711,0.000,18.30,5.39,
ma 11.07.2016 17:00 - 18:00,0.769,0.769,0.000,18.50,4.46,
ma 11.07.2016 18:00 - 19:00,0.571,0.571,0.000,18.40,3.83,
ma 11.07.2016 19:00 - 20:00,0.692,0.692,0.000,18.70,3.92,
ma 11.07.2016 20:00 - 21:00,0.432,0.432,0.000,18.70,4.08,
ma 11.07.2016 21:00 - 22:00,1.269,1.269,0.000,18.70,3.81,
ma 11.07.2016 22:00 - 23:00,2.965,0.000,2.965,19.00,3.69,
ma 11.07.2016 23:00 - 00:00,3.347,0.000,3.347,18.80,3.53,
ti 12.07.2016 00:00 - 01:00,3.413,0.000,3.413,17.20,3.34,
ti 12.07.2016 01:00 - 02:00,1.158,0.000,1.158,16.50,3.11,
ti 12.07.2016 02:00 - 03:00,0.415,0.000,0.415,15.40,2.97,
ti 12.07.2016 03:00 - 04:00,0.216,0.000,0.216,15.20,2.78,
ti 12.07.2016 04:00 - 05:00,0.213,0.000,0.213,14.70,2.80,
ti 12.07.2016 05:00 - 06:00,0.760,0.000,0.760,15.60,2.80,
ti 12.07.2016 06:00 - 07:00,1.146,0.000,1.146,15.90,3.10,
ti 12.07.2016 07:00 - 08:00,0.853,0.853,0.000,17.70,3.59,
ti 12.07.2016 08:00 - 09:00,0.281,0.281,0.000,19.20,4.21,
ti 12.07.2016 09:00 - 10:00,0.506,0.506,0.000,20.70,4.39,
ti 12.07.2016 10:00 - 11:00,0.325,0.325,0.000,21.80,4.92,
ti 12.07.2016 11:00 - 12:00,0.424,0.424,0.000,22.90,5.00,
ti 12.07.2016 12:00 - 13:00,1.245,1.245,0.000,20.30,5.41,
ti 12.07.2016 13:00 - 14:00,0.666,0.666,0.000,20.20,5.41,
ti 12.07.2016 14:00 - 15:00,1.689,1.689,0.000,20.10,5.41,
ti 12.07.2016 15:00 - 16:00,1.786,1.786,0.000,20.50,5.41,
ti 12.07.2016 16:00 - 17:00,1.968,1.968,0.000,21.70,4.71,
ti 12.07.2016 17:00 - 18:00,2.487,2.487,0.000,21.10,4.46,
ti 12.07.2016 18:00 - 19:00,4.603,4.603,0.000,20.90,4.40,
ti 12.07.2016 19:00 - 20:00,3.504,3.504,0.000,21.80,4.03,
ti 12.07.2016 20:00 - 21:00,3.564,3.564,0.000,21.70,4.07,
ti 12.07.2016 21:00 - 22:00,4.090,4.090,0.000,21.60,4.00,
ti 12.07.2016 22:00 - 23:00,2.901,0.000,2.901,21.40,4.06,
ti 12.07.2016 23:00 - 00:00,2.639,0.000,2.639,20.10,4.04,
ke 13.07.2016 00:00 - 01:00,1.531,0.000,1.531,19.50,3.82,
ke 13.07.2016 01:00 - 02:00,0.911,0.000,0.911,19.20,3.48,
ke 13.07.2016 02:00 - 03:00,0.168,0.000,0.168,18.70,3.37,
ke 13.07.2016 03:00 - 04:00,0.165,0.000,0.165,17.80,3.23,
ke 13.07.2016 04:00 - 05:00,0.267,0.000,0.267,17.90,3.10,
ke 13.07.2016 05:00 - 06:00,1.068,0.000,1.068,17.90,3.11,
ke 13.07.2016 06:00 - 07:00,0.468,0.000,0.468,17.60,3.31,
ke 13.07.2016 07:00 - 08:00,0.226,0.226,0.000,17.90,3.95,
ke 13.07.2016 08:00 - 09:00,1.074,1.074,0.000,18.60,4.37,
ke 13.07.2016 09:00 - 10:00,1.997,1.997,0.000,18.90,5.01,
ke 13.07.2016 10:00 - 11:00,2.551,2.551,0.000,18.70,5.39,
ke 13.07.2016 11:00 - 12:00,0.315,0.315,0.000,18.50,5.39,
ke 13.07.2016 12:00 - 13:00,1.691,1.691,0.000,19.10,5.39,
ke 13.07.2016 13:00 - 14:00,2.809,2.809,0.000,19.20,5.39,
ke 13.07.2016 14:00 - 15:00,0.763,0.763,0.000,19.50,5.39,
ke 13.07.2016 15:00 - 16:00,0.336,0.336,0.000,19.70,5.39,
ke 13.07.2016 16:00 - 17:00,0.715,0.715,0.000,19.90,5.39,
ke 13.07.2016 17:00 - 18:00,1.472,1.472,0.000,20.10,4.74,
ke 13.07.2016 18:00 - 19:00,0.362,0.362,0.000,19.80,4.50,
ke 13.07.2016 19:00 - 20:00,1.016,1.016,0.000,20.20,4.51,
ke 13.07.2016 20:00 - 21:00,0.954,0.954,0.000,19.50,4.52,
ke 13.07.2016 21:00 - 22:00,0.370,0.370,0.000,19.40,4.09,
ke 13.07.2016 22:00 - 23:00,1.635,0.000,1.635,18.90,3.91,
ke 13.07.2016 23:00 - 00:00,0.399,0.000,0.399,19.10,3.91,
to 14.07.2016 00:00 - 01:00,0.859,0.000,0.859,18.10,3.61,
to 14.07.2016 01:00 - 02:00,1.042,0.000,1.042,16.90,3.12,
to 14.07.2016 02:00 - 03:00,0.192,0.000,0.192,16.90,2.98,
to 14.07.2016 03:00 - 04:00,0.188,0.000,0.188,13.40,2.83,
to 14.07.2016 04:00 - 05:00,0.209,0.000,0.209,14.20,2.77,
to 14.07.2016 05:00 - 06:00,0.207,0.000,0.207,15.30,2.68,
to 14.07.2016 06:00 - 07:00,0.190,0.000,0.190,16.50,3.05,
to 14.07.2016 07:00 - 08:00,0.398,0.398,0.000,17.80,3.53,
to 14.07.2016 08:00 - 09:00,1.116,1.116,0.000,18.50,3.74,
to 14.07.2016 09:00 - 10:00,1.712,1.712,0.000,19.30,4.41,
to 14.07.2016 10:00 - 11:00,1.941,1.941,0.000,19.90,4.71,
to 14.07.2016 11:00 - 12:00,0.389,0.389,0.000,19.40,4.72,
to 14.07.2016 12:00 - 13:00,0.868,0.868,0.000,19.80,5.07,
to 14.07.2016 13:00 - 14:00,1.041,1.041,0.000,20.20,5.08,
to 14.07.2016 14:00 - 15:00,0.538,0.538,0.000,21.30,4.72,
to 14.07.2016 15:00 - 16:00,0.443,0.443,0.000,20.20,4.71,
to 14.07.2016 16:00 - 17:00,0.286,0.286,0.000,19.30,4.44,
to 14.07.2016 17:00 - 18:00,0.227,0.227,0.000,19.80,4.08,
to 14.07.2016 18:00 - 19:00,0.231,0.231,0.000,19.50,4.06,
to 14.07.2016 19:00 - 20:00,0.242,0.242,0.000,19.40,4.23,
to 14.07.2016 20:00 - 21:00,0.241,0.241,0.000,19.40,4.09,
to 14.07.2016 21:00 - 22:00,0.239,0.239,0.000,18.90,3.94,
to 14.07.2016 22:00 - 23:00,1.790,0.000,1.790,17.50,3.83,
to 14.07.2016 23:00 - 00:00,1.819,0.000,1.819,14.60,3.68,
pe 15.07.2016 00:00 - 01:00,0.640,0.000,0.640,13.30,3.46,
pe 15.07.2016 01:00 - 02:00,1.118,0.000,1.118,14.70,3.24,
pe 15.07.2016 02:00 - 03:00,0.258,0.000,0.258,14.10,2.99,
pe 15.07.2016 03:00 - 04:00,0.236,0.000,0.236,14.00,2.61,
pe 15.07.2016 04:00 - 05:00,0.242,0.000,0.242,14.30,2.52,
pe 15.07.2016 05:00 - 06:00,0.234,0.000,0.234,14.70,2.51,
pe 15.07.2016 06:00 - 07:00,0.231,0.000,0.231,14.60,2.98,
pe 15.07.2016 07:00 - 08:00,0.228,0.228,0.000,14.80,3.48,
pe 15.07.2016 08:00 - 09:00,0.234,0.234,0.000,15.20,3.80,
pe 15.07.2016 09:00 - 10:00,0.226,0.226,0.000,15.50,4.60,
pe 15.07.2016 10:00 - 11:00,0.226,0.226,0.000,15.40,4.60,
pe 15.07.2016 11:00 - 12:00,0.237,0.237,0.000,17.20,4.60,
pe 15.07.2016 12:00 - 13:00,1.047,1.047,0.000,19.20,5.12,
pe 15.07.2016 13:00 - 14:00,0.653,0.653,0.000,20.90,4.71,
pe 15.07.2016 14:00 - 15:00,0.230,0.230,0.000,21.00,4.60,
pe 15.07.2016 15:00 - 16:00,0.230,0.230,0.000,18.50,4.60,
pe 15.07.2016 16:00 - 17:00,0.220,0.220,0.000,18.40,4.36,
pe 15.07.2016 17:00 - 18:00,0.228,0.228,0.000,19.00,3.98,
pe 15.07.2016 18:00 - 19:00,0.233,0.233,0.000,18.50,3.83,
pe 15.07.2016 19:00 - 20:00,0.239,0.239,0.000,20.10,3.91,
pe 15.07.2016 20:00 - 21:00,0.237,0.237,0.000,19.10,4.09,
pe 15.07.2016 21:00 - 22:00,0.230,0.230,0.000,18.70,3.96,
pe 15.07.2016 22:00 - 23:00,0.237,0.000,0.237,17.90,3.90,
pe 15.07.2016 23:00 - 00:00,0.238,0.000,0.238,17.90,4.04,
la 16.07.2016 00:00 - 01:00,0.259,0.000,0.259,17.70,3.91,
la 16.07.2016 01:00 - 02:00,0.265,0.000,0.265,17.50,3.62,
la 16.07.2016 02:00 - 03:00,0.922,0.000,0.922,16.90,3.03,
la 16.07.2016 03:00 - 04:00,0.961,0.000,0.961,16.20,2.86,
la 16.07.2016 04:00 - 05:00,0.247,0.000,0.247,15.80,2.73,
la 16.07.2016 05:00 - 06:00,1.414,0.000,1.414,16.10,2.72,
la 16.07.2016 06:00 - 07:00,0.309,0.000,0.309,16.30,2.77,
la 16.07.2016 07:00 - 08:00,0.228,0.228,0.000,16.30,3.07,
la 16.07.2016 08:00 - 09:00,0.227,0.227,0.000,16.40,3.56,
la 16.07.2016 09:00 - 10:00,0.229,0.229,0.000,16.70,3.76,
la 16.07.2016 10:00 - 11:00,0.236,0.236,0.000,16.30,3.82,
la 16.07.2016 11:00 - 12:00,0.235,0.235,0.000,16.50,3.90,
la 16.07.2016 12:00 - 13:00,0.227,0.227,0.000,16.30,3.91,
la 16.07.2016 13:00 - 14:00,0.851,0.851,0.000,16.40,3.84,
la 16.07.2016 14:00 - 15:00,0.935,0.935,0.000,16.70,3.75,
la 16.07.2016 15:00 - 16:00,0.219,0.219,0.000,17.10,3.69,
la 16.07.2016 16:00 - 17:00,0.227,0.227,0.000,17.60,3.58,
la 16.07.2016 17:00 - 18:00,0.313,0.313,0.000,16.60,3.60,
la 16.07.2016 18:00 - 19:00,1.464,1.464,0.000,16.60,3.64,
la 16.07.2016 19:00 - 20:00,0.612,0.612,0.000,17.40,3.81,
la 16.07.2016 20:00 - 21:00,0.491,0.491,0.000,17.10,3.86,
